obs_id;lat_wgs84;lon_wgs84;obs_date;obs_time;obs_time_zone;site_id;site_name;site_country;upstream_basin_area;upstream_basin_area_unit;drainage_region_name;param_code;source_param_code;param_name;source_param_name;obs_value;source_obs_value;detection_limit_flag;param_form;source_param_form;unit;source_unit;filtration;source;obs_percentile;obs_iqr_outlier;site_ts_availability;site_ts_continuity;WATERBASE_meta_procedureAnalysedMatrix;WATERBASE_meta_Remarks
d4b1d8ebd40110847b2ca9077dec5cbdebdd533d821d2e2c7137c37f68ca7b3c;61.41152;29.4006;2021-05-05;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;0.82;0.82;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.029619970193740686;no;0.26;0.13;W;
b0c757fd804caa0165cbaf2f4838e207ac5cb1104deff56b8e44d8b6daa6ac88;61.41152;29.4006;2021-06-01;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.5;1.5;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.28036512667660207;no;0.26;0.13;W;
64a537e032bfaa65dd041ebc838e1ed02e9976a47a837c302ff188653e317752;61.41152;29.4006;2021-07-06;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.2;1.2;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.1564207650273224;no;0.26;0.13;W;
8eb4582089408e330bcf1c67147f341089aea40801075325cb718dfb5ba3f11b;61.41152;29.4006;2021-08-03;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.8;1.8;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.3987208147044213;no;0.26;0.13;W;
dd8d2c23e34528f71fc5fbb27fc8ee8f615be18fdb17419b9397285543e1c09d;61.41152;29.4006;2021-09-07;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.1;1.1;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.11512667660208643;no;0.26;0.13;W;
0456c5e3c399eb963e7d2509150b79282e6b4828ae468f4d1b10509558c4ce9b;61.41152;29.4006;2021-10-05;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.2;1.2;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.1564207650273224;no;0.26;0.13;W;
e26ed61ba48e0538221a205c776c2dc1cab0c9aa56b9e7f6c44e0dbb472a9a8b;61.41152;29.4006;2021-11-02;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.4;1.4;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.2406855439642325;no;0.26;0.13;W;
0caafb5bb51aed3b4ff996d8605c44b5e05717b8e77c264f9e8bf0183bbad74a;61.41152;29.4006;2021-12-07;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.0;2.0;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.4734227521112767;no;0.26;0.13;W;
21028eeb34b27082672ea51fdfb60a40b118be5b9d390a893b944a15465e3cb6;61.41152;29.4006;2014-02-04;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;0.5;0.5;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.004284649776453055;no;0.26;0.13;W;
c132e9db328450643794d912346e4caf49e09e80986e399b5201a207bd085811;61.41152;29.4006;2019-01-15;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;0.5;0.5;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.004284649776453055;no;0.26;0.13;W;
